,ep_score
0,8
1,6
2,6
3,7
4,7
5,7
6,10
7,7
8,9
9,9
10,9
11,7
12,6
13,6
14,5
15,9
16,7
17,8
18,12
19,8
20,8
21,6
22,11
23,7
24,8
25,7
26,9
27,7
28,8
29,8
30,8
31,9
32,8
33,6
34,8
35,12
36,8
37,10
38,8
39,8
40,9
41,5
42,8
43,8
44,14
45,6
46,7
47,6
48,11
49,9
50,6
51,8
52,7
53,7
54,7
55,8
56,11
57,7
58,9
59,5
60,9
61,9
62,10
63,9
64,8
65,7
66,7
67,9
68,6
69,6
70,8
71,8
72,6
73,8
74,7
75,12
76,8
77,6
78,9
79,13
80,8
81,7
82,8
83,5
84,11
85,6
86,6
87,7
88,7
89,8
90,10
91,11
92,5
93,10
94,8
95,13
96,9
97,7
98,15
99,11
100,11
101,14
102,6
103,8
104,8
105,7
106,6
107,7
108,7
109,8
110,8
111,8
112,8
113,6
114,7
115,7
116,7
117,7
118,9
119,6
120,5
121,11
122,13
123,9
124,7
125,10
126,6
127,8
128,7
129,9
130,8
131,11
132,7
133,7
134,7
135,6
136,8
137,12
138,7
139,12
140,7
141,9
142,7
143,9
144,9
145,7
146,13
147,10
148,9
149,10
150,11
151,9
152,11
153,8
154,8
155,10
156,7
157,6
158,12
159,10
160,11
161,14
162,11
163,7
164,8
165,7
166,14
167,7
168,10
169,8
170,9
171,7
172,10
173,11
174,9
175,11
176,9
177,14
178,10
179,10
180,9
181,10
182,11
183,9
184,7
185,10
186,13
187,5
188,7
189,16
190,13
191,8
192,19
193,11
194,7
195,9
196,8
197,9
198,7
199,7
200,7
201,6
202,7
203,12
204,13
205,9
206,10
207,7
208,8
209,18
210,8
211,11
212,12
213,9
214,12
215,6
216,11
217,9
218,8
219,7
220,13
221,9
222,7
223,8
224,6
225,8
226,13
227,11
228,10
229,12
230,17
231,7
232,8
233,8
234,8
235,8
236,12
237,10
238,13
239,7
240,8
241,8
242,14
243,12
244,15
245,7
246,10
247,10
248,9
249,9
250,7
251,11
252,6
253,12
254,12
255,9
256,11
257,10
258,7
259,10
260,13
261,9
262,14
263,12
264,9
265,16
266,8
267,9
268,10
269,9
270,13
271,12
272,8
273,8
274,12
275,9
276,15
277,8
278,8
279,7
280,8
281,9
282,9
283,9
284,7
285,8
286,10
287,14
288,10
289,7
290,9
291,9
292,12
293,15
294,7
295,7
296,9
297,8
298,9
299,9
300,11
301,8
302,7
303,8
304,9
305,8
306,9
307,11
308,6
309,15
310,10
311,7
312,10
313,11
314,11
315,10
316,8
317,9
318,13
319,13
320,11
321,9
322,7
323,8
324,11
325,15
326,10
327,9
328,7
329,10
330,9
331,20
332,12
333,11
334,12
335,7
336,9
337,9
338,9
339,12
340,8
341,11
342,10
343,8
344,7
345,10
346,9
347,7
348,13
349,9
350,14
351,12
352,13
353,8
354,9
355,11
356,9
357,12
358,11
359,9
360,10
361,7
362,14
363,13
364,6
365,9
366,11
367,7
368,7
369,12
370,8
371,11
372,9
373,11
374,9
375,10
376,13
377,10
378,8
379,11
380,11
381,10
382,17
383,10
384,12
385,18
386,12
387,8
388,11
389,7
390,13
391,10
392,11
393,8
394,8
395,7
396,11
397,13
398,7
399,8
400,10
401,15
402,10
403,9
404,7
405,8
406,8
407,14
408,12
409,12
410,11
411,13
412,12
413,10
414,10
415,11
416,21
417,9
418,15
419,10
420,11
421,8
422,14
423,10
424,9
425,10
426,9
427,9
428,13
429,12
430,19
431,12
432,7
433,19
434,9
435,14
436,7
437,10
438,10
439,11
440,8
441,11
442,8
443,7
444,9
445,11
446,9
447,11
448,10
449,9
450,7
451,13
452,9
453,8
454,8
455,8
456,10
457,8
458,11
459,11
460,9
461,12
462,8
463,10
464,13
465,13
466,9
467,14
468,13
469,9
470,13
471,9
472,10
473,16
474,8
475,8
476,12
477,9
478,9
479,9
480,8
481,8
482,9
483,13
484,11
485,8
486,8
487,17
488,11
489,13
490,9
491,13
492,11
493,11
494,10
495,8
496,7
497,11
498,10
499,10
500,12
501,12
502,14
503,8
504,9
505,7
506,18
507,9
508,9
509,11
510,15
511,11
512,9
