,ep_score
0,-42.06001564588775
1,-5.670044603766538
2,-18.726167997555965
3,-25.876687532706747
4,12.179182116478769
5,5.211519549848097
6,26.150115061022557
7,30.953954831859644
8,25.038510427475966
9,5.567984940433456
10,8.634043667367884
11,3.857618557374744
12,13.918783951842952
13,8.008553341088954
14,3.2885610919548176
15,-3.523492870707166
16,3.4788919886191594
17,-10.09945541598225
18,4.9567468588479215
19,12.498511966479821
20,13.485269500468117
21,2.2577234836635056
22,3.35192111925186
23,0.9556204202748048
24,-3.47918234186166
25,2.077682393132899
26,0.475790598952717
27,-4.785705269289587
28,-9.119813849084366
29,3.1817506758453575
30,4.743856445747149
31,-3.6026507661822333
32,1.5934471086855648
33,1.4883006267815133
34,1.7144215793965631
35,-4.023589511347901
36,-4.329242339537309
37,-14.340149781098738
38,-13.562214262177383
39,-10.69398418961226
40,-13.909429830794885
41,-11.105241249556341
42,-14.159025397388225
43,-8.548604832515828
44,-6.001345212192626
45,-14.78662502917847
46,-6.766993437478849
47,-1.7225930198932538
48,16.850618620367893
49,6.132964627406092
50,-3.5162405065022324
51,8.13255899189881
52,-3.0123752028049875
53,-0.0401404648810347
54,2.4372364386262606
55,-10.57371519426651
56,-5.907842428529903
57,-1.9657566199665015
58,-11.300173276330376
59,-7.258644059623413
60,-7.480815531181877
61,-9.444379355529344
62,-6.016295947809712
63,-11.790736083313908
64,-8.037932520684462
65,-17.533838241768322
66,-16.061200256257887
67,-7.189925123548524
68,-1.9243857749564648
69,-7.219197853959373
70,2.9736078446873724
71,-6.363555154290338
72,5.387974592671933
73,-2.5613337461166172
74,-0.22457136134929687
75,4.763305439847511
76,-4.0990529458458855
77,-9.715020058882331
78,-13.368412062211512
79,-8.842995278103569
80,-5.784594333974763
81,-7.9424935601787805
82,-6.022727741913643
83,-6.125573207858581
84,-11.125624521317505
85,-8.498723887440693
86,-19.11389360371935
87,-18.462104600282075
88,-15.57042141742255
89,-5.882815772165652
90,-11.919135539031185
91,-9.671942565058693
92,-4.885702191396834
93,-16.13269636403031
94,-20.910355954392912
95,-21.413088980788825
96,-19.726355427911322
97,-13.557698427080844
98,-11.231476103591987
99,-12.599644747634523
