,ep_score
532,74.0
533,60.0
534,51.0
535,45.0
536,57.0
537,52.0
538,62.0
539,67.0
540,51.0
541,48.0
542,54.0
543,53.0
544,60.0
545,63.0
546,80.0
547,56.0
548,50.0
549,52.0
550,84.0
551,64.0
552,63.0
553,48.0
554,58.0
555,54.0
556,103.0
557,42.0
558,74.0
559,48.0
560,53.0
561,56.0
562,63.0
563,67.0
564,80.0
565,79.0
566,98.0
567,59.0
568,49.0
569,55.0
570,59.0
571,72.0
572,93.0
573,80.0
574,81.0
575,54.0
576,93.0
577,70.0
578,173.0
579,97.0
580,96.0
581,70.0
582,52.0
583,129.0
584,98.0
585,98.0
586,289.0
587,142.0
588,117.0
589,90.0
590,55.0
591,131.0
592,134.0
593,120.0
594,272.0
595,96.0
596,62.0
597,151.0
598,120.0
599,145.0
600,103.0
601,131.0
602,134.0
603,85.0
604,74.0
605,102.0
606,93.0
607,159.0
608,126.0
609,50.0
610,85.0
611,190.0
612,76.0
613,78.0
614,110.0
615,58.0
616,91.0
617,59.0
618,54.0
619,59.0
620,73.0
621,77.0
622,63.0
623,64.0
624,47.0
625,63.0
626,63.0
627,52.0
628,66.0
629,53.0
630,56.0
631,57.0
632,49.0
633,58.0
634,58.0
635,57.0
636,55.0
637,44.0
638,53.0
639,82.0
640,59.0
641,46.0
642,58.0
643,57.0
644,45.0
645,43.0
646,77.0
647,59.0
648,57.0
649,41.0
650,49.0
651,46.0
652,49.0
653,57.0
654,52.0
655,45.0
656,55.0
657,60.0
658,48.0
659,58.0
660,55.0
661,58.0
662,72.0
663,47.0
664,59.0
665,61.0
666,69.0
667,57.0
668,73.0
669,47.0
670,75.0
671,56.0
672,93.0
673,64.0
674,71.0
675,72.0
676,44.0
677,171.0
678,59.0
679,111.0
680,73.0
681,69.0
682,100.0
683,54.0
684,72.0
685,64.0
686,120.0
687,52.0
688,115.0
689,82.0
690,87.0
691,51.0
692,57.0
693,49.0
694,97.0
695,59.0
696,62.0
697,57.0
698,65.0
699,113.0
700,62.0
701,58.0
702,43.0
703,74.0
704,116.0
705,44.0
706,86.0
707,72.0
708,58.0
709,85.0
710,58.0
711,64.0
712,82.0
713,140.0
714,110.0
715,130.0
716,97.0
717,106.0
718,152.0
719,185.0
720,70.0
721,240.0
722,106.0
723,108.0
724,89.0
725,107.0
726,86.0
727,89.0
728,53.0
729,83.0
730,45.0
731,72.0
732,61.0
733,98.0
734,55.0
735,51.0
736,42.0
737,52.0
738,50.0
739,62.0
740,60.0
741,56.0
742,63.0
743,53.0
744,46.0
745,52.0
746,48.0
747,43.0
748,52.0
749,54.0
750,49.0
751,63.0
752,51.0
753,51.0
754,44.0
755,58.0
756,45.0
757,52.0
758,51.0
759,50.0
760,60.0
761,44.0
762,56.0
763,44.0
764,20.0
765,39.0
766,59.0
767,50.0
768,49.0
769,58.0
770,45.0
771,54.0
772,43.0
773,63.0
774,58.0
775,46.0
776,57.0
777,49.0
778,60.0
779,47.0
780,60.0
781,46.0
782,48.0
