,ep_score
0,45.71674894781907
1,54.892689464849916
2,54.64731205783276
3,64.28655964306743
4,45.66201845431125
5,64.10986179066889
6,45.64700179445319
7,54.66919253618788
8,54.85935876473778
9,73.43163673273793
10,64.06001651894232
11,54.972274443725134
12,54.6325056864244
13,54.614479435091994
14,64.24236221718698
15,63.797876098188546
16,64.06275541497698
17,64.07895315242851
18,45.64191379137207
19,82.49659636083261
20,63.82763609413384
21,63.93647239258039
22,54.769411935163475
23,64.09892333802226
24,55.01869731106726
25,54.65150351086372
26,73.33433038330142
27,82.87344450000523
28,73.34885877149758
29,72.8638204531065
30,101.95734756435283
31,64.04121927273108
32,82.81955889496847
33,73.01469370868026
34,64.04548647340283
35,73.41603978378657
36,64.06782655398868
37,64.09876159799391
38,101.15787852717126
39,82.25604646318781
40,91.7726890163396
41,101.54170681836663
42,110.75403691179244
43,82.66025475937002
44,73.10135087720431
45,91.70358999397256
46,82.21375447512612
47,91.86545168407886
48,54.49657365398137
49,83.01963956829758
50,54.74605932050881
51,82.85350793104504
52,91.58039137717061
53,82.95700796133724
54,63.983609892796686
55,64.15392333630535
56,92.56734567697862
57,73.65446760291105
58,64.00766653757539
59,73.19489625670624
60,54.78514128051151
61,64.2566816070758
62,101.46067178337942
63,63.69554129783059
64,64.08608843965767
65,64.0916766692784
66,54.65938173220252
67,64.27477127504915
68,73.361446015316
69,101.61289239983431
70,54.847765663673876
71,54.79079035054059
72,101.83360017238266
73,92.34598155199402
74,73.05341018831633
75,73.33563746214968
76,55.049544232745276
77,82.8742727198109
78,64.0660737409245
79,54.29186164648551
80,73.3458156068415
81,64.21797457411739
82,54.31728177064256
83,54.59258588511268
84,54.92176605267768
85,54.59151768412579
86,63.74119748912711
87,82.91573183845803
88,64.3772475033551
89,45.2884494490051
90,92.44963099808241
91,45.55912478275052
92,54.70199500697008
93,101.51768033221488
94,54.798893934423134
95,64.0795956426332
96,92.18638146945837
97,63.573241639978754
98,63.793513816862315
99,63.79316393638739
100,45.23517897135928
101,54.96866925272712
102,54.745427484811884
103,54.85423811609502
104,73.21329232913921
105,44.9207508989293
106,54.69693178837016
107,54.490422325355766
108,54.391555635649055
109,72.6926991925624
110,45.159449114009874
111,54.576966789004196
112,54.58518979663272
113,82.91126470557805
114,45.49161343339657
115,64.30273008373818
116,45.36779933048562
117,45.56890672361682
118,54.373429084388064
119,129.93793652612612
120,63.790787746606846
121,55.01744267340346
122,54.47748300909234
123,45.63394622494131
124,73.10805893765627
125,148.1755960913011
